"Product ID","Product Name","Category String",Price,"Calculated Price","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Brand + Name","Page Title","Product URL","Product Images"
13229,"Loc-A-Fella Moisturizing Conditioner- 8oz","Salon;Salon/Hair Care Products;Salon/Hair Care Products/Shampoo & Conditioner",4.99,4.99,,True,True,,"Razac  Loc-A-Fella Moisturizing Conditioner- 8oz",,/loc-a-fella-moisturizing-conditioner-8oz/,"Product Image URL: http://tophairwigs.com/product_images/a/408/locafella_conditioner__43138.jpg"
13230,"Groworks No Flakes Scalp Oil 4 oz.","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"GroWorks  Groworks No Flakes Scalp Oil 4 oz.",,/groworks-no-flakes-scalp-oil-4-oz/,"Product Image URL: http://tophairwigs.com/product_images/o/260/41Ldpa1ShdL._SY355___83898.jpg"
13231,"GroWorks Style It Conditioning Styling Gel 8OZ","Salon;Salon/Hair Care Products",3.99,3.99,,True,True,,"GroWorks  GroWorks Style It Conditioning Styling Gel 8OZ",,/groworks-style-it-conditioning-styling-gel-8oz/,"Product Image URL: http://tophairwigs.com/product_images/w/641/81QYM7LJn6L._SX450___51759.jpg"
13232,"Gro Works Smooth & Style Mousse- 12oz","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"GroWorks  Gro Works Smooth & Style Mousse- 12oz",,/gro-works-smooth-style-mousse-12oz/,"Product Image URL: http://tophairwigs.com/product_images/n/245/_57__64754.JPG"
13233,"GroWorks Stop Breakage Strengthening and Conditioning Treatment 8oz ","Salon;Salon/Hair Care Products",3.99,3.99,True,,True,,"GroWorks  GroWorks Stop Breakage Strengthening and Conditioning Treatment 8oz ",,/groworks-stop-breakage-strengthening-and-conditioning-treatment-8oz/,"Product Image URL: http://tophairwigs.com/product_images/r/980/41S8I56vASL__18830.jpg"
13234,"GroWorks Shine On Protective Polisher 4oz","Salon;Salon/Hair Care Products",4.99,4.99,,True,True,,"GroWorks  GroWorks Shine On Protective Polisher 4oz",,/groworks-shine-on-protective-polisher-4oz/,"Product Image URL: http://tophairwigs.com/product_images/q/414/81WErwSIL._SL1500___60063.jpg"
13235,"Lustrasilk Growth Therapy with Tea Tree Cholesterol 7.5 oz","Salon;Salon/Hair Care Products",3.99,3.99,True,,True,,"GroWorks  Lustrasilk Growth Therapy with Tea Tree Cholesterol 7.5 oz",,/lustrasilk-growth-therapy-with-tea-tree-cholesterol-7-5-oz/,"Product Image URL: http://tophairwigs.com/product_images/b/022/3185ADSLV4L__42006.jpg"
13236,"Lustrasilk Growth Therapy with Shea Butter Cholesterol 7.5 oz","Salon;Salon/Hair Care Products",3.99,3.99,True,,True,,"Lustrasilk  Lustrasilk Growth Therapy with Shea Butter Cholesterol 7.5 oz",,/lustrasilk-growth-therapy-with-shea-butter-cholesterol-7-5-oz/,"Product Image URL: http://tophairwigs.com/product_images/y/683/71fjvtJGYGL._SX522___13616.jpg"
13237,"Lustrasilk Growth Therapy, Aloe Vera for Moisture Repair, 7.5 Oz","Salon;Salon/Hair Care Products;Salon/Hair Care Products/Hair Treatment",3.99,3.99,True,,True,,"Lustrasilk  Lustrasilk Growth Therapy, Aloe Vera for Moisture Repair, 7.5 Oz",,/lustrasilk-growth-therapy-aloe-vera-for-moisture-repair-7-5-oz/,"Product Image URL: http://tophairwigs.com/product_images/e/556/31c2P0Xm8nL__25523.jpg"
13238," Lustrasilk Growth Therapy with Herbal Cholesterol- 7.5oz","Salon;Salon/Hair Care Products",3.99,3.99,True,,True,"In Stock","GroWorks   Lustrasilk Growth Therapy with Herbal Cholesterol- 7.5oz","Lustrasilk Growth Therapy with Herbal Cholesterol",/lustrasilk-growth-therapy-with-herbal-cholesterol-7-5oz/,"Product Image URL: http://tophairwigs.com/product_images/h/901/yhst_17606501929367_2265_83378075__47815.jpg"
